cond.thisRepN,cond.thisTrialN,cond.thisN,cond.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digit_rep.thisRepN,digit_rep.thisTrialN,digit_rep.thisN,digit_rep.thisIndex,thisRow.t,notes,sequence_started,sequence_ended,digit_sequence,result_box.text,confirm_input.keys,confirm_input.rt,confirm_input.duration,input_ended,participant,order,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,3.9119886999833398,,20:02:44.504004,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,0,0,0,0,1,0,1,0,4.914540999976452,,,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,0,0,0,0,2,0,2,0,6.023638500017114,,,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,0,0,0,0,3,0,3,0,7.119153100007679,,,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,0,0,0,0,4,0,4,0,8.224443699989934,,,20:02:50.902330,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,0,0,0,0,,,,,,,,,"[2, 4, 1, 7, 5]",2415,space,2.5575578000280075,None,20:02:53.570564,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,1,0,1,0,0,0,0,0,12.876179900020361,,20:02:53.570564,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,1,0,1,0,1,0,1,0,13.97960309998598,,,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,1,0,1,0,2,0,2,0,15.083766800002195,,,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,1,0,1,0,3,0,3,0,16.180342699983157,,,,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,1,0,1,0,4,0,4,0,17.29014479997568,,,20:02:59.971320,,,,,,,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
0,0,0,0,1,0,1,0,,,,,,,,,"[4, 5, 7, 1, 8]",45718,space,2.238870000001043,None,20:03:02.319636,p3,3,2024-06-28_20h02.33.631,digit_span,2023.2.3,142.5843993135822,2024-06-28 20h02.41.701633 +0200,
