62.9456 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text="press 'space' to confirm input", units='height', win=Window(...), wrapWidth=1)
62.9458 	EXP 	window1: mouseVisible = True
62.9540 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
62.9541 	EXP 	window1: mouseVisible = True
62.9596 	EXP 	Created text_7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_7', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='The End', units='height', win=Window(...), wrapWidth=1)
0.0180 	EXP 	result_box: autoLog = True
0.0273 	EXP 	text: autoDraw = True
3.1323 	DATA 	Mouse: Left button down, pos=(418,451)
3.2480 	DATA 	Mouse:  Left button up, pos=(418,451)
4.2449 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
4.2451 	EXP 	New trial (rep=0, index=0): None
4.2453 	EXP 	Created sequence: sequential, trialTypes=1, nReps=15, seed=None
4.2454 	EXP 	New trial (rep=0, index=0): None
4.2480 	DATA 	Keypress: space
4.2613 	EXP 	text: autoDraw = False
4.2613 	EXP 	text_2: autoDraw = True
5.2453 	EXP 	Created sequence: sequential, trialTypes=1, nReps=8, seed=None
5.2455 	EXP 	New trial (rep=0, index=0): None
5.2945 	EXP 	text_2: autoDraw = False
5.2945 	EXP 	digit: height = 0.5
5.2945 	EXP 	digit: height = 0.5
5.2945 	EXP 	digit: height = 0.5
5.2945 	EXP 	digit: text = '4'
5.2945 	EXP 	digit: autoDraw = True
6.2638 	EXP 	digit: autoDraw = False
6.2638 	EXP 	text_3: autoDraw = True
6.3470 	EXP 	New trial (rep=1, index=0): None
6.3640 	EXP 	text_3: autoDraw = False
6.3640 	EXP 	digit: height = 0.5
6.3640 	EXP 	digit: height = 0.5
6.3640 	EXP 	digit: height = 0.5
6.3640 	EXP 	digit: text = '5'
6.3640 	EXP 	digit: autoDraw = True
7.3646 	EXP 	digit: autoDraw = False
7.3646 	EXP 	text_3: autoDraw = True
7.4486 	EXP 	New trial (rep=2, index=0): None
7.4652 	EXP 	text_3: autoDraw = False
7.4652 	EXP 	digit: height = 0.5
7.4652 	EXP 	digit: height = 0.5
7.4652 	EXP 	digit: height = 0.5
7.4652 	EXP 	digit: text = '3'
7.4652 	EXP 	digit: autoDraw = True
8.4654 	EXP 	digit: autoDraw = False
8.4654 	EXP 	text_3: autoDraw = True
8.5491 	EXP 	New trial (rep=3, index=0): None
8.5662 	EXP 	text_3: autoDraw = False
8.5662 	EXP 	digit: height = 0.5
8.5662 	EXP 	digit: height = 0.5
8.5662 	EXP 	digit: height = 0.5
8.5662 	EXP 	digit: text = '1'
8.5662 	EXP 	digit: autoDraw = True
9.5664 	EXP 	digit: autoDraw = False
9.5664 	EXP 	text_3: autoDraw = True
9.6513 	EXP 	New trial (rep=4, index=0): None
9.6668 	EXP 	text_3: autoDraw = False
9.6668 	EXP 	digit: height = 0.5
9.6668 	EXP 	digit: height = 0.5
9.6668 	EXP 	digit: height = 0.5
9.6668 	EXP 	digit: text = '0'
9.6668 	EXP 	digit: autoDraw = True
10.6677 	EXP 	digit: autoDraw = False
10.6677 	EXP 	text_3: autoDraw = True
10.7512 	EXP 	New trial (rep=5, index=0): None
10.7682 	EXP 	text_3: autoDraw = False
10.7682 	EXP 	digit: height = 0.5
10.7682 	EXP 	digit: height = 0.5
10.7682 	EXP 	digit: height = 0.5
10.7682 	EXP 	digit: text = '7'
10.7682 	EXP 	digit: autoDraw = True
11.7700 	EXP 	digit: autoDraw = False
11.7700 	EXP 	text_3: autoDraw = True
11.8525 	EXP 	New trial (rep=6, index=0): None
11.8696 	EXP 	text_3: autoDraw = False
11.8696 	EXP 	digit: height = 0.5
11.8696 	EXP 	digit: height = 0.5
11.8696 	EXP 	digit: height = 0.5
11.8696 	EXP 	digit: text = '9'
11.8696 	EXP 	digit: autoDraw = True
12.8699 	EXP 	digit: autoDraw = False
12.8699 	EXP 	text_3: autoDraw = True
12.9535 	EXP 	New trial (rep=7, index=0): None
12.9712 	EXP 	text_3: autoDraw = False
12.9712 	EXP 	digit: height = 0.5
12.9712 	EXP 	digit: height = 0.5
12.9712 	EXP 	digit: height = 0.5
12.9712 	EXP 	digit: text = '6'
12.9712 	EXP 	digit: autoDraw = True
13.9714 	EXP 	digit: autoDraw = False
13.9714 	EXP 	text_3: autoDraw = True
14.0737 	EXP 	text_3: autoDraw = False
14.0737 	EXP 	text_4: autoDraw = True
14.0737 	EXP 	result_box: autoDraw = True
14.0737 	EXP 	text_5: autoDraw = True
15.8964 	DATA 	Keypress: num_4
16.0782 	DATA 	Keypress: num_5
16.4787 	DATA 	Keypress: num_3
16.9812 	DATA 	Keypress: num_1
17.2132 	DATA 	Keypress: num_0
17.6132 	DATA 	Keypress: num_7
18.4804 	DATA 	Keypress: num_9
20.5017 	DATA 	Keypress: num_6
30.2819 	DATA 	Keypress: space
30.2906 	EXP 	New trial (rep=1, index=0): None
30.3070 	EXP 	text_4: autoDraw = False
30.3070 	EXP 	result_box: autoDraw = False
30.3070 	EXP 	text_5: autoDraw = False
30.3070 	EXP 	text_2: autoDraw = True
31.2912 	EXP 	Created sequence: sequential, trialTypes=1, nReps=8, seed=None
31.2914 	EXP 	New trial (rep=0, index=0): None
31.3074 	EXP 	text_2: autoDraw = False
